"Time (s)","Illuminance (lx)"
1.112140063E2,2.060000000E2
1.113939823E2,2.070000000E2
1.115739603E2,2.050000000E2
1.119339173E2,2.060000000E2
1.121138953E2,2.070000000E2
1.124738503E2,2.060000000E2
1.126538293E2,2.070000000E2
1.130137893E2,2.060000000E2
1.131937693E2,2.070000000E2
1.146336260E2,2.080000000E2
1.151735670E2,2.070000000E2
1.153535460E2,2.080000000E2
1.158934790E2,2.070000000E2
1.162534400E2,2.060000000E2
1.167933750E2,2.070000000E2
1.171533300E2,2.060000000E2
1.173333100E2,2.070000000E2
1.175132880E2,2.060000000E2
1.180532821E2,2.070000000E2
1.184132471E2,2.090000000E2
1.185932251E2,2.070000000E2
1.194931151E2,2.090000000E2
1.196730931E2,2.080000000E2
1.198530701E2,2.090000000E2
1.200330481E2,2.080000000E2
1.203930031E2,2.090000000E2
1.207529681E2,2.080000000E2
1.214729436E2,2.090000000E2
1.216529316E2,2.110000000E2
1.220128856E2,2.100000000E2
1.221928626E2,2.090000000E2
1.223728406E2,2.100000000E2
1.229127756E2,2.110000000E2
1.234527086E2,2.120000000E2
1.236326856E2,2.110000000E2
1.238126736E2,2.120000000E2
1.241726276E2,2.100000000E2
1.243526046E2,2.120000000E2
1.247125596E2,2.110000000E2
1.248925416E2,2.120000000E2
1.254325612E2,2.130000000E2
1.259725032E2,2.140000000E2
1.265124362E2,2.130000000E2
1.266924132E2,2.140000000E2
1.270523772E2,2.150000000E2
1.279522652E2,2.160000000E2
1.281322452E2,2.170000000E2
1.288520816E2,2.160000000E2
1.293920236E2,2.120000000E2
1.295720006E2,2.110000000E2
1.297519786E2,2.090000000E2
1.308318446E2,2.100000000E2
1.315517646E2,2.110000000E2
1.317317436E2,2.120000000E2
1.326316840E2,2.140000000E2
1.328116630E2,2.150000000E2
1.329916390E2,2.140000000E2
1.331716170E2,2.130000000E2
1.333515940E2,2.120000000E2
1.342514860E2,2.130000000E2
1.346114500E2,2.120000000E2
1.349714050E2,2.130000000E2
1.351513810E2,2.120000000E2
1.356913035E2,2.130000000E2
1.360512585E2,2.120000000E2
1.385709625E2,2.110000000E2
1.387509405E2,2.120000000E2
1.389309205E2,2.110000000E2
1.436104397E2,2.120000000E2
1.437904157E2,2.110000000E2
1.439703947E2,2.120000000E2
1.468500477E2,2.130000000E2
1.470300969E2,2.120000000E2
1.473900579E2,2.130000000E2
1.477500169E2,2.120000000E2
1.529694061E2,2.130000000E2
1.531493821E2,2.120000000E2
1.533293611E2,2.130000000E2
1.535093371E2,2.120000000E2
1.536893161E2,2.130000000E2
1.540492801E2,2.120000000E2
1.545892609E2,2.130000000E2
1.558491059E2,2.120000000E2
1.562090699E2,2.130000000E2
1.567490029E2,2.140000000E2
1.574689791E2,2.130000000E2
1.578289341E2,2.140000000E2
1.580089111E2,2.130000000E2
1.589088091E2,2.150000000E2
1.594487501E2,2.140000000E2
1.608885731E2,2.150000000E2
1.632283773E2,2.160000000E2
1.641282763E2,2.150000000E2
1.646682103E2,2.140000000E2
1.650281525E2,2.150000000E2
1.652081285E2,2.160000000E2
1.655680835E2,2.150000000E2
1.679078145E2,2.160000000E2
1.682677695E2,2.170000000E2
1.684477455E2,2.160000000E2
1.686277235E2,2.180000000E2
1.689877544E2,2.170000000E2
1.695276854E2,2.180000000E2
1.698876404E2,2.170000000E2
1.700676264E2,2.180000000E2
1.713274724E2,2.190000000E2
1.718674044E2,2.200000000E2
1.725873204E2,2.190000000E2
1.727672984E2,2.210000000E2
1.729472744E2,2.200000000E2
1.733072334E2,2.210000000E2
1.749270394E2,2.220000000E2
1.760069134E2,2.230000000E2
1.767269101E2,2.240000000E2
1.774468201E2,2.230000000E2
1.776268081E2,2.240000000E2
1.801464684E2,2.230000000E2
1.806864014E2,2.220000000E2
1.808663874E2,2.230000000E2
1.812263414E2,2.240000000E2
1.814063204E2,2.260000000E2
1.815862974E2,2.270000000E2
1.817662754E2,2.290000000E2
1.823062104E2,2.280000000E2
1.826661654E2,2.270000000E2
1.828461444E2,2.260000000E2
1.832061074E2,2.250000000E2
1.833860844E2,2.240000000E2
1.837461114E2,2.230000000E2
1.839260884E2,2.280000000E2
1.841060694E2,2.550000000E2
1.842860454E2,2.770000000E2
1.844660244E2,2.790000000E2
1.846460004E2,2.800000000E2
1.853659204E2,2.810000000E2
1.860858344E2,2.820000000E2
1.866258162E2,2.830000000E2
1.871657482E2,2.820000000E2
1.873457292E2,2.800000000E2
1.878856602E2,2.790000000E2
1.880656392E2,2.800000000E2
1.884256032E2,2.790000000E2
1.889655342E2,2.780000000E2
1.891455112E2,2.790000000E2
1.895054702E2,2.800000000E2
1.898654242E2,2.810000000E2
1.905853442E2,2.800000000E2
1.907653994E2,2.790000000E2
1.913053314E2,2.780000000E2
1.918452734E2,2.790000000E2
