"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.293192501E2,2.109356165E0,7.525205612E0,1.235445857E0
2.294193166E2,2.217098475E0,7.960963726E0,3.687183261E-1
2.295195645E2,4.209135056E0,1.180377483E1,4.628133297E0
2.296196340E2,1.180377483E0,9.323306084E0,1.668809533E0
2.297196925E2,1.905842781E0,9.234718323E0,-2.346389294E-1
2.298197721E2,1.467690468E0,9.280209541E0,2.645673752E0
2.299198447E2,8.834874034E-1,1.104718399E1,4.405465722E-1
2.300199029E2,5.411061049E-1,7.934626579E0,-4.022381604E-1
2.301199765E2,8.978530765E-1,1.059945488E1,-8.068706393E-1
2.302200354E2,3.220299721E0,1.086521912E1,1.228263021E0
2.303201058E2,1.575432777E0,8.190814018E0,1.266571403E0
2.304201711E2,1.417410731E0,9.838075638E0,-3.950553536E-1
2.305202373E2,2.492439985E0,9.028810501E0,2.887495518E0
2.306203023E2,1.824437380E0,1.025467873E1,4.525179267E-1
2.307203656E2,2.473285913E0,9.727938652E0,1.733454943E0
2.308204360E2,1.386285067E0,9.390345573E0,1.484450400E-1
2.309205136E2,2.944957972E0,9.507665634E0,-3.232271075E-1
2.310205718E2,1.654443860E0,1.066409969E1,-5.027977005E-2
2.311206397E2,5.075862408E-1,8.001666069E0,6.416656375E-1
2.312207094E2,2.818061352E0,9.921875000E0,8.834874034E-1
2.313207721E2,2.214704275E0,8.569109917E0,1.295302629E0
2.314208469E2,1.565855742E0,9.694418907E0,2.779752970E0
2.315209070E2,1.273754239E0,9.871595383E0,9.098244309E-1
2.316209762E2,9.241901040E-1,1.006792545E1,9.912297726E-1
2.317210376E2,1.065452337E0,9.189227104E0,3.160442710E-1
2.318211116E2,9.217957854E-1,1.102802944E1,5.770202279E-1
2.319211799E2,6.488484740E-1,9.620196342E0,-8.858817071E-2
2.320212492E2,3.543526828E-1,9.574705124E0,-7.709565163E-1
2.321213115E2,1.795706153E0,9.270631790E0,9.361614585E-1
2.322213788E2,1.956122518E0,9.692024231E0,1.134886265E0
2.323214450E2,1.984853864E0,8.602629662E0,5.027977005E-2
2.324215172E2,2.705530643E0,8.933039665E0,1.891477108E0
2.325215828E2,3.083826065E0,1.028341007E1,1.316851139E0
2.326216447E2,2.478074312E0,1.002243423E1,6.823683381E-1
2.327217074E2,2.456526041E0,9.055147171E0,7.254652381E-1
2.328217857E2,2.707924843E0,9.526819229E0,4.333637357E-1
2.329218553E2,1.242628574E0,1.082930470E1,1.415016413E0
2.330219159E2,2.494834423E0,8.578686714E0,1.024749637E0
2.331219863E2,2.755810261E0,9.919480324E0,1.039115310E0
2.332220525E2,2.700742006E0,9.162889481E0,1.836408734E0
