"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.920358416E2,5.238709164E1,5.215142526E0,-6.853248692E-1,4.030219555E0,1.082199936E2,6.000000000E0,0.000000000E0
1.930215387E2,5.238708009E1,5.215198294E0,-1.479049932E-1,4.052715778E0,1.073237534E2,6.000000000E0,0.000000000E0
1.940182003E2,5.238706818E1,5.215262577E0,2.941362223E-1,4.094469547E0,1.080350418E2,6.000000000E0,0.000000000E0
1.950239218E2,5.238706031E1,5.215311171E0,3.303966545E-1,4.086475849E0,1.079902649E2,6.000000000E0,0.000000000E0
1.960307194E2,5.238705130E1,5.215360741E0,3.668455962E-1,4.028576374E0,1.064033585E2,6.000000000E0,0.000000000E0
1.970714889E2,5.238704406E1,5.215402560E0,4.035853106E-1,3.974863291E0,1.102268295E2,6.000000000E0,0.000000000E0
1.980468995E2,5.238703257E1,5.215450648E0,4.406430138E-1,3.913782120E0,1.118294907E2,6.000000000E0,0.000000000E0
1.990230174E2,5.238702079E1,5.215497210E0,4.777891528E-1,3.844842911E0,1.092229691E2,6.000000000E0,0.000000000E0
2.000676112E2,5.238701235E1,5.215535613E0,5.147647347E-1,3.789283752E0,1.081172180E2,6.000000000E0,0.000000000E0
2.010326398E2,5.238700354E1,5.215568006E0,5.514691558E-1,3.735337019E0,1.047117691E2,6.000000000E0,0.000000000E0
2.020399186E2,5.238699212E1,5.215608406E0,5.880488961E-1,3.682523727E0,1.050951996E2,6.000000000E0,0.000000000E0
2.030210603E2,5.238698416E1,5.215657803E0,6.246517488E-1,3.636725903E0,1.068674469E2,6.000000000E0,0.000000000E0
2.040195475E2,5.238697432E1,5.215712495E0,6.609959410E-1,3.603338718E0,1.066619720E2,6.000000000E0,0.000000000E0
2.050347045E2,5.238696625E1,5.215774557E0,1.020087913E0,3.616748333E0,1.068438492E2,6.000000000E0,0.000000000E0
2.060260163E2,5.238695532E1,5.215828227E0,1.049607073E0,3.637893677E0,1.039167328E2,8.000000000E0,0.000000000E0
2.070160807E2,5.238694863E1,5.215878808E0,1.079021299E0,3.648488045E0,1.083399124E2,8.000000000E0,0.000000000E0
2.080299444E2,5.238693955E1,5.215923854E0,1.108489306E0,3.656105757E0,1.109542007E2,8.000000000E0,0.000000000E0
2.090528000E2,5.238692253E1,5.215981657E0,1.138057371E0,3.654929399E0,1.119176559E2,8.000000000E0,0.000000000E0
2.100537242E2,5.238691368E1,5.216018245E0,1.167518949E0,3.622608662E0,1.093951416E2,6.000000000E0,0.000000000E0
2.110227721E2,5.238690184E1,5.216072652E0,1.196921357E0,3.594682932E0,1.111622772E2,6.000000000E0,0.000000000E0
