"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.194479360E2,5.238607101E1,5.207523747E0,6.407030504E0,2.600066662E0,2.490745392E2,4.000000000E0,0.000000000E0
1.204486470E2,5.238606478E1,5.207490826E0,6.412129516E0,2.583540916E0,2.490052032E2,4.000000000E0,0.000000000E0
1.214463647E2,5.238605851E1,5.207458065E0,6.416766075E0,2.566529274E0,2.496960602E2,4.000000000E0,0.000000000E0
1.224439085E2,5.238605233E1,5.207424559E0,6.421499639E0,2.552299500E0,2.499966125E2,4.000000000E0,0.000000000E0
1.234442624E2,5.238604626E1,5.207388848E0,6.426328981E0,2.538320541E0,2.506185150E2,4.000000000E0,0.000000000E0
1.244622713E2,5.238604008E1,5.207350957E0,6.431488687E0,2.522288322E0,2.507640533E2,4.000000000E0,0.000000000E0
1.254507673E2,5.238603448E1,5.207314667E0,6.436916911E0,2.501590014E0,2.518804932E2,4.000000000E0,0.000000000E0
1.264527792E2,5.238602992E1,5.207281908E0,6.442636805E0,2.477931738E0,2.513822174E2,4.000000000E0,0.000000000E0
1.274630258E2,5.238602547E1,5.207250597E0,6.448391148E0,2.438093901E0,2.528248138E2,4.000000000E0,0.000000000E0
1.284383983E2,5.238602320E1,5.207226752E0,6.453788001E0,2.400932312E0,2.524435425E2,4.000000000E0,0.000000000E0
1.294485357E2,5.238601976E1,5.207198120E0,6.459262371E0,2.365274191E0,2.515776367E2,4.000000000E0,0.000000000E0
1.304484874E2,5.238601520E1,5.207165392E0,6.465230367E0,2.334576845E0,2.511306458E2,4.000000000E0,0.000000000E0
1.314851261E2,5.238601066E1,5.207135395E0,6.471330422E0,2.307643652E0,2.530957184E2,4.000000000E0,0.000000000E0
1.324661959E2,5.238600646E1,5.207102719E0,6.477623098E0,2.287371159E0,2.514807892E2,4.000000000E0,0.000000000E0
1.334419316E2,5.238600115E1,5.207069162E0,6.484042039E0,2.276201487E0,2.520897980E2,4.000000000E0,0.000000000E0
1.344336625E2,5.238599544E1,5.207030450E0,6.490718990E0,2.269641161E0,2.509862366E2,4.000000000E0,0.000000000E0
1.354663596E2,5.238598998E1,5.206997328E0,6.497198274E0,2.272958517E0,2.509683380E2,4.000000000E0,0.000000000E0
1.364722976E2,5.238598694E1,5.206970115E0,6.502342229E0,2.280228853E0,2.523972626E2,4.000000000E0,0.000000000E0
1.374384344E2,5.238598402E1,5.206941654E0,6.506177231E0,2.296115398E0,2.466008911E2,4.000000000E0,0.000000000E0
1.384454121E2,5.238597851E1,5.206909969E0,6.509782222E0,2.304418087E0,2.472185059E2,4.000000000E0,0.000000000E0
1.394661445E2,5.238596847E1,5.206866788E0,6.513001434E0,2.314514875E0,2.499433899E2,4.000000000E0,0.000000000E0
1.404427736E2,5.238596192E1,5.206827118E0,6.516483482E0,2.328659534E0,2.461457062E2,4.000000000E0,0.000000000E0
1.414418779E2,5.238595397E1,5.206784118E0,6.520806347E0,2.343609810E0,2.451751251E2,4.000000000E0,0.000000000E0
1.424515122E2,5.238594427E1,5.206742720E0,6.525297178E0,2.342809677E0,2.500325775E2,4.000000000E0,0.000000000E0
1.434536902E2,5.238593850E1,5.206707899E0,6.530196139E0,2.338113070E0,2.516335602E2,4.000000000E0,0.000000000E0
1.444383025E2,5.238593301E1,5.206667767E0,6.535806710E0,2.334121227E0,2.535797272E2,4.000000000E0,0.000000000E0
1.454404734E2,5.238592753E1,5.206629464E0,6.541637412E0,2.332685709E0,2.536839600E2,4.000000000E0,0.000000000E0
1.464377624E2,5.238592206E1,5.206593099E0,6.547569588E0,2.329931736E0,2.546370239E2,4.000000000E0,0.000000000E0
1.474701913E2,5.238591666E1,5.206551707E0,6.554251523E0,2.328595877E0,2.537873993E2,4.000000000E0,0.000000000E0
1.484484064E2,5.238591311E1,5.206517782E0,6.561342308E0,2.322530270E0,2.532994995E2,4.000000000E0,0.000000000E0
1.494416837E2,5.238590796E1,5.206477786E0,6.569375904E0,2.314299107E0,2.525332336E2,4.000000000E0,0.000000000E0
1.504458251E2,5.238590050E1,5.206437693E0,6.578521238E0,2.299281120E0,2.511535187E2,4.000000000E0,0.000000000E0
1.514616669E2,5.238589499E1,5.206404807E0,6.588247739E0,2.291355133E0,2.512292175E2,4.000000000E0,0.000000000E0
1.524346048E2,5.238588805E1,5.206369609E0,6.597839461E0,2.301709652E0,2.528116913E2,4.000000000E0,0.000000000E0
1.534403456E2,5.238587991E1,5.206326590E0,6.608675090E0,2.307444572E0,2.537934570E2,4.000000000E0,0.000000000E0
1.544448742E2,5.238587442E1,5.206293508E0,6.618753187E0,2.292449951E0,2.568956909E2,4.000000000E0,0.000000000E0
1.554364306E2,5.238587269E1,5.206262472E0,6.628169831E0,2.274723053E0,2.562373657E2,4.000000000E0,0.000000000E0
1.564854034E2,5.238586850E1,5.206227626E0,6.636892237E0,2.252589703E0,2.548556671E2,4.000000000E0,0.000000000E0
1.574458915E2,5.238586431E1,5.206196182E0,6.645461266E0,2.229047060E0,2.542106018E2,4.000000000E0,0.000000000E0
1.584685785E2,5.238585860E1,5.206157970E0,6.653308341E0,2.211276770E0,2.543533478E2,4.000000000E0,0.000000000E0
1.594533465E2,5.238585362E1,5.206120051E0,6.658357514E0,2.201596022E0,2.495202026E2,4.000000000E0,0.000000000E0
1.604412560E2,5.238584565E1,5.206069504E0,6.664568042E0,2.190631151E0,2.421589508E2,4.000000000E0,0.000000000E0
1.614284350E2,5.238583403E1,5.206029520E0,6.671273542E0,2.174344778E0,2.249255829E2,4.000000000E0,0.000000000E0
1.624405697E2,5.238581812E1,5.205999568E0,6.678298288E0,2.167545795E0,1.942476501E2,4.000000000E0,0.000000000E0
1.634365171E2,5.238579949E1,5.205987307E0,6.682405235E0,2.173240423E0,1.932131653E2,4.000000000E0,0.000000000E0
1.644498569E2,5.238577818E1,5.205977509E0,6.683943310E0,2.178876162E0,1.878490601E2,4.000000000E0,0.000000000E0
1.654418266E2,5.238575845E1,5.205975355E0,6.685577410E0,2.197745085E0,1.855943451E2,4.000000000E0,0.000000000E0
1.664480971E2,5.238573556E1,5.205974213E0,6.686578191E0,2.212678671E0,1.833439178E2,4.000000000E0,0.000000000E0
1.674526330E2,5.238571537E1,5.205970898E0,6.685705900E0,2.204175711E0,1.813928375E2,4.000000000E0,0.000000000E0
1.684549130E2,5.238569543E1,5.205968195E0,6.684876186E0,2.190057993E0,1.817008209E2,4.000000000E0,0.000000000E0
1.694435460E2,5.238567765E1,5.205964762E0,6.682634926E0,2.175048113E0,1.825998688E2,4.000000000E0,0.000000000E0
1.704550658E2,5.238565678E1,5.205957399E0,6.677951692E0,2.157132387E0,1.841409607E2,4.000000000E0,0.000000000E0
1.714393430E2,5.238563383E1,5.205950906E0,6.673028965E0,2.144162416E0,1.830385437E2,4.000000000E0,0.000000000E0
1.724546392E2,5.238561111E1,5.205944758E0,6.667919694E0,2.146361351E0,1.880619659E2,4.000000000E0,0.000000000E0
1.734446528E2,5.238558879E1,5.205937248E0,6.662531053E0,2.147952080E0,1.897240295E2,4.000000000E0,0.000000000E0
